respondent;sex;condition;exp_clock;trial_clock;block;block_nr;trial_nr;sound;salience;position;orientation;event;value;responseTime;accuracy
1;m;NA;73.7327269918751;3.77467746147886;VA;2;1;microwaveoven;high;central;right;SearchResponse;right;951.982955448329;1
1;m;NA;80.8900925116614;4.13758080499247;VA;2;2;firealarm;low;peripheral;right;SearchResponse;right;1318.76304442994;1
1;m;NA;88.1142267032992;4.20459402003326;VA;2;3;growlingdog;low;peripheral;right;SearchResponse;right;1385.24371571839;1
1;m;NA;95.0707347011194;3.93716496252455;VA;2;4;microwaveoven;low;peripheral;left;SearchResponse;left;1117.91302869096;1
1;m;NA;103.179171768017;5.08873333968222;VA;2;5;cluckinghen;low;peripheral;right;SearchResponse;right;2269.66313435696;1
1;m;NA;109.685423034709;3.48679010779597;VA;2;6;growlingdog;low;central;right;SearchResponse;right;668.400989845395;1
1;m;NA;116.125239852117;3.42024188069627;VA;2;7;microwaveoven;low;central;right;SearchResponse;right;601.533552398905;1
1;m;NA;122.514958437532;3.37010335223749;VA;2;8;firealarm;high;central;right;SearchResponse;right;550.723023246974;1
1;m;NA;128.887940607965;3.35333651746623;VA;2;9;microwaveoven;high;peripheral;right;SearchResponse;right;534.604880493134;1
1;m;NA;135.227683825418;3.31997114466503;VA;2;10;firealarm;low;central;right;SearchResponse;right;501.234371913597;1
1;m;NA;141.600653748959;3.35321523342282;VA;2;11;microwaveoven;high;peripheral;left;SearchResponse;left;534.5543124713;1
1;m;NA;147.888329349225;3.27000209782273;VA;2;12;cluckinghen;high;central;left;SearchResponse;left;450.600830372423;1
1;m;NA;154.096471027937;3.18851775419898;VA;2;13;microwaveoven;high;central;left;SearchResponse;left;367.561917053536;1
1;m;NA;161.520664320793;4.40414823195897;VA;2;14;firealarm;low;central;left;SearchResponse;left;1585.54815058596;1
1;m;NA;168.427615716588;3.88732944661751;VA;2;15;growlingdog;low;central;left;SearchResponse;left;1068.79099505022;1
1;m;NA;174.967325591017;3.52015548059717;VA;2;16;microwaveoven;low;central;left;SearchResponse;left;701.499300543219;1
1;m;NA;182.391467525624;4.40437618293799;VA;2;17;cluckinghen;low;peripheral;left;SearchResponse;left;1585.58844705112;1
1;m;NA;189.448659494752;4.03746532835066;VA;2;18;microwaveoven;low;peripheral;right;SearchResponse;right;1218.83048163727;1
1;m;NA;195.93852950749;3.47021803865209;VA;2;19;cluckinghen;low;central;right;SearchResponse;right;651.32126561366;1
1;m;NA;202.411510611186;3.45330424094573;VA;2;20;growlingdog;high;central;left;SearchResponse;left;634.570628637448;1
