respondent,trial_nr,salience,position,responseTime
1,1,low,central,1151.979241752997
1,2,low,peripheral,1302.2770991083235
1,3,low,central,785.1517454255372
1,4,high,peripheral,634.7543327137828
1,5,low,central,701.6292759217322
1,6,low,central,918.8475087285042
1,7,high,central,583.8351610582322
1,8,high,peripheral,701.9235973712057
1,9,high,peripheral,684.809107799083
1,10,high,peripheral,668.2465202175081
1,11,high,peripheral,684.7617004532367
1,12,high,central,667.8779274225235
1,13,high,central,601.8152318429202
1,14,high,central,467.8662335500121
1,15,low,peripheral,1051.908802241087
1,16,high,central,517.8866384085268
1,17,low,central,851.0228358209133
1,18,high,peripheral,568.05993267335
1,19,low,central,684.6048608422279
1,20,low,central,801.5760609414428
1,21,high,peripheral,602.1869853138924
1,22,low,central,1118.6423134058714
1,23,high,central,467.8832213394344
1,24,low,peripheral,985.7437855098397
1,25,low,peripheral,1468.8210987951607
1,26,low,peripheral,851.929503493011
1,27,low,peripheral,968.0327523965389
1,28,high,central,551.4005545992404
1,29,high,central,1268.7043184414506
1,30,low,peripheral,784.894164884463
1,31,high,peripheral,602.2691582329571
1,32,low,peripheral,718.1235179305077
10,1,high,central,617.6606535445899
10,2,high,central,601.3857163488865
10,3,low,central,1836.0255430452526
10,4,high,peripheral,717.187607428059
10,5,high,peripheral,867.466876283288
10,6,low,central,1768.9200688619167
10,7,high,peripheral,634.4843306578696
10,8,low,peripheral,1035.0284876767546
10,9,high,central,618.4448499698192
10,10,high,central,636.4635869394988
10,11,low,central,2019.7732034139335
10,12,low,central,834.8624831996858
10,13,low,central,985.004665562883
10,14,low,peripheral,3404.8645454458892
10,15,high,peripheral,665.8170218579471
10,16,high,central,583.9469290804118
10,17,low,peripheral,1519.1458461340517
10,18,low,central,984.957653330639
10,19,low,peripheral,869.010774884373
10,20,low,peripheral,1068.38270672597
10,21,high,central,500.9125911165029
10,22,high,peripheral,668.21148712188
10,23,low,peripheral,1285.4920921381563
10,24,high,central,501.2373314239085
10,25,low,central,1151.940105482936
10,26,high,peripheral,634.6929229330271
10,27,low,peripheral,2270.095770712942
10,28,high,peripheral,534.8226609639823
10,29,low,peripheral,1068.4218178503215
10,30,low,central,901.6187232919037
10,31,high,peripheral,767.9043668322265
10,32,high,central,567.8493743762374
100,1,high,peripheral,851.4611357823014
100,2,low,central,1335.498271510005
100,3,high,central,734.975605038926
100,4,low,peripheral,1935.6859258841723
100,5,high,peripheral,685.9828147571534
100,6,low,peripheral,767.7787654101849
100,7,low,peripheral,800.3069630358368
100,8,low,central,966.8780246283859
100,9,low,peripheral,984.932345803827
100,10,low,peripheral,1469.0030617639422
100,11,high,peripheral,882.8468148130924
100,12,high,peripheral,768.7296788208187
100,13,low,peripheral,1051.682765595615
100,14,high,central,617.8769383113831
100,15,low,central,650.2957036718726
100,16,low,central,833.591308677569
100,17,low,central,1018.4410864021629
100,18,low,central,668.1422221008688
100,19,high,central,517.2800000291318
100,20,high,central,651.6124445479363
100,21,low,central,734.846024774015
100,22,low,peripheral,1117.1520000789315
100,23,high,peripheral,785.5146664660424
100,24,high,peripheral,501.02755543775856
100,25,high,central,684.7253332380205
100,26,high,peripheral,1551.505777752027
100,27,high,peripheral,733.4360494278371
100,28,low,peripheral,1101.7066666390747
100,29,high,central,584.5230617560446
100,30,high,central,716.2962963338941
100,31,high,central,534.4501726794988
100,32,low,central,666.7950616683811
11,1,low,peripheral,1719.0367285220418
11,2,high,peripheral,717.9700614069588
11,3,low,peripheral,1018.6990691290703
11,4,high,peripheral,734.8708088393323
11,5,low,peripheral,1000.1971358724404
11,6,high,central,734.8755495913792
11,7,low,peripheral,1318.590940674767
11,8,high,central,568.4632369375322
11,9,low,central,967.8427527542226
11,10,high,central,567.9848169966135
11,11,high,peripheral,584.62442850577645
11,12,low,central,902.7073195902631
11,13,high,peripheral,734.584784047911
11,14,low,central,801.2103906075936
11,15,low,central,1919.45833855425
11,16,low,peripheral,934.6275297284592
11,17,high,peripheral,735.0047348008957
11,18,low,peripheral,851.2524844554719
11,19,high,central,550.9434275445528
11,20,low,central,619.2472569819074
11,21,low,central,1368.7262691091746
11,22,high,central,634.4847938453313
11,23,low,central,668.2542886701412
11,24,high,central,534.6830754133407
11,25,low,peripheral,1219.450950913597
11,26,high,peripheral,751.5139759052545
11,27,low,peripheral,901.4221832621843
11,28,high,peripheral,601.2158424418885
11,29,low,central,985.1670064672362
11,30,high,peripheral,734.0190554386936
11,31,high,central,617.8321453044191
11,32,high,central,668.00777008757
12,1,low,peripheral,2152.844823198393
12,2,high,peripheral,1385.364999761805
12,3,low,peripheral,1085.1797552313656
12,4,high,peripheral,768.2339968159795
12,5,high,peripheral,868.4352021664381
12,6,high,central,551.3250979129225
12,7,high,central,567.9311421699822
12,8,low,central,818.4760317672044
12,9,high,peripheral,634.5196655020118
12,10,high,central,633.4059853106737
12,11,low,peripheral,2252.9543738346547
12,12,low,central,834.3642479740083
12,13,low,peripheral,1519.0354792866856
12,14,high,central,735.4643777944148
12,15,high,central,601.3822436798364
12,16,low,central,818.142204079777
12,17,high,peripheral,834.8395079374313
12,18,high,central,851.4392313081771
12,19,low,central,968.4760121162981
12,20,low,central,1002.0148172043264
12,21,low,peripheral,1051.7116663977504
12,22,low,central,1602.7882699854672
12,23,high,peripheral,784.8463621921837
12,24,low,peripheral,735.2190441451967
12,25,high,peripheral,934.9601205904037
12,26,low,central,985.105365049094
12,27,high,peripheral,601.4577003661543
12,28,high,central,618.1068066507578
12,29,low,peripheral,1719.6753220632672
12,30,low,central,701.2701644562185
12,31,high,central,1018.5730590019375
12,32,low,peripheral,684.723379323259
13,2,low,central,2336.298397392966
13,3,high,central,901.9964404869825
13,4,low,central,967.9530509747565
13,5,low,peripheral,1385.2203748538159
13,6,high,central,618.4635685058311
13,7,high,peripheral,518.0177422007546
13,8,low,central,918.3092971215956
13,9,high,peripheral,601.4076021383516
13,10,low,peripheral,1302.8375252033584
13,11,low,peripheral,1801.882465428207
13,12,high,peripheral,835.1785971899517
13,13,high,central,651.5226636547595
13,14,low,peripheral,1635.6024975539185
13,15,high,central,618.1605567107908
13,16,high,central,617.3617434687912
13,17,low,peripheral,985.2274859440513
13,18,low,central,1351.238812378142
13,19,high,central,735.4257078259252
13,20,low,central,750.4716039984487
13,21,low,central,834.4694628030993
13,22,high,peripheral,750.9531832765788
13,23,low,central,984.436968981754
13,24,low,peripheral,2486.546791973524
13,25,low,peripheral,1619.0597154200077
13,26,low,peripheral,1369.0663327579387
13,27,low,central,1068.0271248565987
13,28,high,peripheral,717.813890776597
13,29,high,peripheral,751.5576265286654
13,30,high,central,734.227487933822
13,31,high,peripheral,801.1393557535484
13,32,high,central,567.936853505671
14,1,high,peripheral,1785.8707865234464
14,2,high,peripheral,1084.9796859547496
14,3,high,central,1569.1483898553997
14,4,high,central,634.9660167470574
14,5,high,peripheral,752.3182204458863
14,6,low,peripheral,2102.8427828568965
14,7,low,central,1201.8384577240795
14,8,high,peripheral,768.2411707937717
14,9,high,central,685.3272609878331
14,10,high,peripheral,883.8341659866273
14,11,low,peripheral,1385.5574235785753
14,12,low,peripheral,1518.8685283064842
14,13,low,peripheral,935.1095820311457
14,14,low,central,1919.2857921589166
14,15,low,central,2102.0419935230166
14,16,low,central,1886.0058183781803
14,17,low,central,1082.7527246437967
14,18,high,peripheral,667.8193241823465
14,19,high,central,999.5030127465725
14,20,high,peripheral,1085.2862535975873
14,21,low,peripheral,935.0767920259386
14,22,high,central,1052.2958599030972
14,23,low,peripheral,885.08848589845
14,24,low,central,1068.2243411429226
14,25,low,peripheral,1568.9974762499332
14,26,high,central,617.7745242603123
14,27,low,central,1035.0739476270974
14,28,low,central,1001.8247885163873
14,29,high,central,1051.090132445097
14,30,low,peripheral,1035.3888114914298
14,31,high,peripheral,885.4894731193781
14,32,high,central,901.2966705486178
15,1,high,central,601.8384599592537
15,2,low,peripheral,1819.124471861869
15,3,low,peripheral,901.5687513165176
15,4,low,central,1952.5028949137777
15,5,high,central,667.2974487300962
15,6,low,central,651.277294382453
15,7,high,peripheral,634.7435594070703
15,8,low,central,1269.0960075706244
15,9,low,peripheral,952.9303517192602
15,10,high,central,784.7643594723195
15,11,high,central,501.35842035524547
15,12,high,peripheral,501.3303707819432
15,13,low,peripheral,1051.6527611762285
15,14,low,central,1435.4056040756404
15,15,low,peripheral,934.9969124887139
15,16,high,peripheral,651.3231215067208
15,17,high,central,1168.4030294418335
15,18,low,peripheral,1168.2912269607186
15,19,high,peripheral,734.5658210106194
15,20,high,peripheral,618.018219480291
15,21,high,peripheral,733.0543142743409
15,22,high,central,701.5102030709386
15,23,high,central,517.8842539899051
15,24,low,peripheral,1085.4104042518884
15,25,high,peripheral,951.626647496596
15,26,low,central,1318.5198295395821
15,27,high,peripheral,684.8480731714517
15,28,low,central,1119.405479170382
15,29,low,central,1135.86257211864
15,30,low,central,968.160777585581
15,31,high,central,634.4030159525573
15,32,low,peripheral,2136.0589179676026
16,1,high,central,852.3926914203912
16,2,low,central,1719.2015801556408
16,3,low,peripheral,2186.5193084813654
16,4,low,central,1469.0125433262438
16,5,low,peripheral,1701.6402962617576
16,6,high,central,751.6788148786873
16,7,high,central,701.9302716944367
16,8,low,peripheral,1452.338172821328
16,9,high,central,668.2386172469705
16,10,high,peripheral,668.0999505333602
16,11,high,peripheral,1318.7697776593268
16,12,low,central,1369.0299259033054
16,13,low,central,768.8485926482826
16,14,high,central,583.0621235072613
16,15,low,peripheral,1669.3760000634938
16,16,high,peripheral,718.3115060906857
16,17,low,central,1352.2575802635401
16,18,high,central,702.7267159428447
16,19,high,peripheral,602.6137284934521
16,20,high,peripheral,701.5972346998751
16,21,high,peripheral,667.230419581756
16,22,low,central,818.1333334650844
16,23,low,peripheral,918.8393086660653
16,24,high,peripheral,668.2062221225351
16,25,low,central,684.8161974921823
16,26,high,central,468.5408396180719
16,27,high,peripheral,568.2449382729828
16,28,low,central,2485.3005432523787
16,29,low,peripheral,1052.0387161523104
16,30,low,peripheral,1018.6172840185463
16,31,high,central,768.2556048966944
16,32,low,peripheral,985.1919012144208
17,1,low,peripheral,2136.4022267225664
17,2,high,central,1085.558947379468
17,3,low,central,1218.5280863486696
17,4,high,peripheral,734.7226606216282
17,5,low,central,1268.7471679237206
17,6,high,central,651.6739364597015
17,7,high,peripheral,684.618937142659
17,8,high,central,734.7854754771106
17,9,low,central,701.6682278190274
17,10,high,peripheral,833.6346997239161
17,11,high,central,617.3612315615173
17,12,high,peripheral,584.6761815773789
17,13,high,peripheral,618.3109603298362
17,14,high,central,617.2028117289301
17,15,low,peripheral,1352.7361393498722
17,16,high,central,701.1830918490887
17,17,low,central,951.6298080561683
17,18,low,central,684.7690606373362
17,19,low,peripheral,1151.8009488645475
17,20,high,peripheral,751.2394078949001
17,21,high,peripheral,718.0719873867929
17,22,low,central,1100.4207803925965
17,23,low,peripheral,899.0889478009194
17,24,low,central,767.1264265372884
17,25,high,peripheral,584.4711444806308
17,26,low,peripheral,2119.537429942284
17,27,low,peripheral,1018.5959579539485
17,28,high,central,667.6680168311577
17,29,low,peripheral,1418.8232765882276
17,30,high,central,551.1883659055457
17,31,low,peripheral,1602.2157440602314
17,32,low,central,801.8377488770057
18,1,low,central,3020.2291037421674
18,2,low,central,1401.6285999678075
18,3,high,central,1035.0992039311677
18,4,high,central,902.0596116315573
18,5,low,peripheral,984.2666913755238
18,6,low,central,868.0875170975924
18,7,low,peripheral,1135.1666010450572
18,8,high,peripheral,534.5725873485208
18,9,low,peripheral,667.8535619284958
18,10,high,peripheral,734.6090117935091
18,11,low,central,701.2520276475698
18,12,high,peripheral,700.0830417964607
18,13,high,peripheral,667.388970265165
18,14,low,central,701.1888180859387
18,15,high,peripheral,599.5237932074815
18,16,high,central,484.7861968446523
18,17,low,peripheral,1300.8267839904875
18,18,high,peripheral,767.728564562276
18,19,low,peripheral,1118.2587761431932
18,20,high,peripheral,651.2807486578822
18,21,high,central,433.86242538690567
18,22,high,central,484.2659013811499
18,23,low,central,750.153481028974
18,24,high,central,484.67478970997036
18,25,low,peripheral,2102.892479393631
18,26,low,peripheral,734.8377525340766
18,27,high,peripheral,768.2030329015106
18,28,low,central,1201.817360240966
18,29,high,central,518.3332054875791
18,30,high,central,518.3055514935404
18,31,low,central,1185.8877062331885
18,32,low,peripheral,1318.191694561392
19,1,low,central,2086.1516082659364
19,2,high,peripheral,834.9785699974746
19,3,low,peripheral,2854.0699505247176
19,4,high,peripheral,718.8603088725358
19,5,high,central,784.8850784357637
19,6,low,central,2319.5764776319265
19,7,high,peripheral,968.4665305539966
19,8,low,central,1535.051300888881
19,9,high,peripheral,750.7710626814514
19,10,low,peripheral,2920.1057818718255
19,11,high,peripheral,684.9766143132001
19,12,high,central,717.9974927566946
19,13,high,central,618.3912514243275
19,14,low,peripheral,2753.732844023034
19,15,high,central,1051.6678143758327
19,16,low,central,818.0011671502143
19,17,high,central,785.1161898579448
19,18,high,central,718.0452954489738
19,19,low,central,1152.8823541011661
19,20,high,peripheral,766.0793277900666
19,21,low,central,1001.3771867379546
19,22,high,peripheral,784.9463128950447
19,23,low,peripheral,1002.2787186317146
19,24,low,central,1085.0904711987823
