respondent;block;trial_nr;sound;salience;arousal;responseTime
1;VA;1;S3;high;S3;734.942303155549
1;VA;2;S2;low;S2;1101.77651571576
1;VA;3;S4;low;S4;1043.29308820888
1;VA;4;S3;low;S3;1026.40635229181
1;VA;5;S1;low;S1;1694.09642752726
1;VA;6;S4;low;S4;676.131961867213
1;VA;7;S3;low;S3;609.787981957197
1;VA;8;S2;high;S2;584.640890476294
1;VA;9;S3;high;S3;843.218777095899
1;VA;10;S2;low;S2;568.159290705808
1;VA;11;S3;high;S3;534.460287657566
1;VA;12;S1;high;S1;475.911477580667
1;VA;13;S3;high;S3;434.359033242799
1;VA;14;S2;low;S2;1577.29174580891
1;VA;15;S4;low;S4;1127.02079245355
1;VA;16;S3;low;S3;801.534382160753
1;VA;17;S1;low;S1;1176.92129604984
1;VA;18;S3;low;S3;1293.86108904146
1;VA;19;S1;low;S1;659.309423295781
1;VA;20;S4;high;S4;576.251349644735
1;VA;21;S1;high;S1;701.568633900024
1;VA;22;S4;high;S4;501.650964841247
1;VA;23;S1;low;S1;1351.94214561488
1;VA;24;S2;high;S2;518.16436718218
1;VA;25;S1;high;S1;534.462263109162
1;VA;26;S4;high;S4;634.854085743427
1;VA;27;S2;high;S2;543.071655905806
1;VA;28;S1;high;S1;501.450865878724
1;VA;29;S4;high;S4;484.691537450999
1;VA;30;S2;high;S2;534.629769274034
1;VA;31;S4;low;S4;834.7024214454
1;VA;32;S2;low;S2;943.413463886827
1;VO;1;visual only;low;visual only;1151.979241753
1;VO;2;visual only;low;visual only;1302.27709910832
1;VO;3;visual only;low;visual only;785.151745425537
1;VO;4;visual only;high;visual only;634.754332713783
1;VO;5;visual only;low;visual only;701.629275921732
1;VO;6;visual only;low;visual only;918.847508728504
1;VO;7;visual only;high;visual only;583.835161058232
1;VO;8;visual only;high;visual only;701.923597371206
1;VO;9;visual only;high;visual only;684.809107799083
1;VO;10;visual only;high;visual only;668.246520217508
1;VO;11;visual only;high;visual only;684.761700453237
1;VO;12;visual only;high;visual only;667.877927422523
1;VO;13;visual only;high;visual only;601.81523184292
1;VO;14;visual only;high;visual only;467.866233550012
1;VO;15;visual only;low;visual only;1051.90880224109
1;VO;16;visual only;high;visual only;517.886638408527
1;VO;17;visual only;low;visual only;851.022835820913
1;VO;18;visual only;high;visual only;568.05993267335
1;VO;19;visual only;low;visual only;684.604860842228
1;VO;20;visual only;low;visual only;801.576060941443
1;VO;21;visual only;high;visual only;602.186985313892
1;VO;22;visual only;low;visual only;1118.64231340587
1;VO;23;visual only;high;visual only;467.883221339434
1;VO;24;visual only;low;visual only;985.74378550984
1;VO;25;visual only;low;visual only;1468.82109879516
1;VO;26;visual only;low;visual only;851.929503493011
1;VO;27;visual only;low;visual only;968.032752396539
1;VO;28;visual only;high;visual only;551.40055459924
1;VO;29;visual only;high;visual only;1268.70431844145
1;VO;30;visual only;low;visual only;784.894164884463
1;VO;31;visual only;high;visual only;602.269158232957
1;VO;32;visual only;low;visual only;718.123517930508
2;VA;1;S2;high;S2;1352.8073085472
2;VA;2;S1;high;S1;885.054617188871
2;VA;3;S4;high;S4;843.52632088121
2;VA;4;S3;high;S3;751.688691438176
2;VA;5;S1;high;S1;935.027950676158
2;VA;6;S2;high;S2;1309.69283950981
2;VA;7;S3;high;S3;785.584197612479
2;VA;8;S1;high;S1;851.869827252813
2;VA;9;S3;high;S3;1126.9726420287
2;VA;10;S2;high;S2;634.073876659386
2;VA;11;S1;high;S1;952.549925888889
2;VA;12;S2;high;S2;927.013728301972
2;VA;13;S1;low;S1;1685.86923461407
2;VA;14;S4;high;S4;843.339654384181
2;VA;15;S1;low;S1;1151.87674073968
2;VA;16;S2;low;S2;1110.29787664302
2;VA;17;S3;high;S3;926.785777788609
2;VA;18;S1;low;S1;1861.63476540241
2;VA;19;S4;high;S4;984.909827122465
2;VA;20;S2;low;S2;1777.63812348712
2;VA;21;S1;low;S1;1710.91200003866
2;VA;22;S2;low;S2;1502.33916053548
2;VA;23;S4;high;S4;1235.35170359537
2;VA;24;S3;low;S3;1577.50439515803
2;VA;25;S4;low;S4;2211.59960504156
2;VA;26;S2;low;S2;2161.32740734611
2;VA;27;S4;low;S4;1318.97797540296
2;VA;28;S3;low;S3;1627.44217284489
2;VA;29;S4;low;S4;1727.65965445433
2;VA;30;S3;low;S3;1569.27269138396
2;VA;31;S4;low;S4;2428.23012347799
2;VA;32;S3;low;S3;1977.82597527839
2;VO;1;visual only;low;visual only;1085.39772848599
